,,,,,,,,,,,,,,,,,,,,,,,,
Index,Key,Street Number,Street,Unit,Model,Units,Mutual,Bldg Date,Bldg Code,Phase,Parking Type,Building Type,Elvator (Y/N),SomeOneLives,Steps (Y/N),# of Front Steps,# of Back Steps,Distance to Drop,Distance to Parking,Parking Grade,Carport #,APN,Location,HoaAmount
11334,5220-,5220,Moya,,Villa Terraza,1,Condominium,9/1/1973,C10RB_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-220,"33.62006,-117.74408",#N/A
11336,5222-,5222,Moya,,Villa Terraza,1,Condominium,9/1/1973,C10RA_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-222,"33.62036,-117.74394",#N/A
11341,5227-,5227,Moya,,Villa Terraza,1,Condominium,9/1/1973,C10B_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-227,"33.62069,-117.74443",#N/A
11343,5229-,5229,Moya,,Villa Terraza,1,Condominium,9/1/1973,C10A_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-229,"33.62038,-117.7445",#N/A
11354,5240-,5240,Elvira,,Villa Terraza,1,Condominium,9/1/1973,C10B_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-240,"33.61853,-117.74519",#N/A
11362,5248-,5248,Duenas,,Villa Terraza,1,Condominium,9/1/1973,C10A_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-248,"33.61722,-117.74529",#N/A
11366,5252-,5252,Duenas,,Villa Terraza,1,Condominium,9/1/1973,C10RA_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-252,"33.61681,-117.74523",#N/A
11370,5256-,5256,Duenas,,Villa Terraza,1,Condominium,9/1/1973,C10C_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-256,"33.61706,-117.74588",#N/A
11373,5259-,5259,Duenas,,Villa Terraza,1,Condominium,9/1/1973,C10RC_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-259,"33.6177,-117.74621",#N/A
11377,5263-,5263,Miembro,,Villa Terraza,1,Condominium,9/1/1973,C10A_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-263,"33.61778,-117.7468",#N/A
11380,5266-,5266,Avenida Del Sol,,Villa Terraza,1,Condominium,9/1/1973,C10RB_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-266,"33.61806,-117.74622",#N/A
11387,5273-,5273,Avenida Del Sol,,Villa Terraza,1,Condominium,9/1/1973,C10A_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-273,"33.61917,-117.74534",#N/A
11392,5278-,5278,Pina,,Villa Terraza,1,Condominium,9/1/1973,C10B_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-278,"33.6201,-117.74518",#N/A
11394,5280-,5280,Pina,,Villa Terraza,1,Condominium,9/1/1973,C10A_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-280,"33.62071,-117.74514",#N/A
11399,5285-,5285,Pina,,Villa Terraza,1,Condominium,9/1/1973,C10RC_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-285,"33.62003,-117.74569",#N/A
11403,5289-,5289,Avenida Del Sol,,Villa Terraza,1,Condominium,9/1/1973,C10A_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-289,"33.61941,-117.7458",#N/A
11405,5291-,5291,Avenida Del Sol,,Villa Terraza,1,Condominium,9/1/1973,C10B_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-291,"33.61911,-117.74594",#N/A
11410,5296-,5296,Avenida Del Sol,,Villa Terraza,1,Condominium,9/1/1973,C10B_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-296,"33.61844,-117.74653",#N/A
11420,5306-,5306,Cantante,,Villa Terraza,1,Condominium,9/1/1973,C10A_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-306,"33.61932,-117.74698",#N/A
11425,5311-,5311,Cantante,,Villa Terraza,1,Condominium,9/1/1973,C10RB_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-311,"33.61918,-117.74751",#N/A
11427,5313-,5313,Cantante,,Villa Terraza,1,Condominium,9/1/1973,C10RC_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-313,"33.61893,-117.74768",#N/A
11430,5316-,5316,Cantante,,Villa Terraza,1,Condominium,9/1/1973,C10RA_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-316,"33.61849,-117.74786",#N/A
11115,5001-,5001,Duverney,,Villa Serena,1,Condominium,9/1/1973,C12RB_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-001,"33.61545,-117.74541",#N/A
11117,5003-,5003,Duverney,,Villa Serena,1,Condominium,9/1/1973,C12C_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-003,"33.61518,-117.74523",#N/A
11120,5006-,5006,Duverney,,Villa Serena,1,Condominium,9/1/1973,C12C_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-006,"33.6147,-117.74505",#N/A
11122,5008-,5008,Duverney,,Villa Serena,1,Condominium,9/1/1973,C12B_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-008,"33.61444,-117.74551",#N/A
11126,5012-,5012,Duverney,,Villa Serena,1,Condominium,9/1/1973,C12RA_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-012,"33.61508,-117.74572",#N/A
11130,5016-,5016,Jardin,,Villa Serena,1,Condominium,9/1/1973,C12A_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-016,"33.61463,-117.74632",#N/A
